count,label,uid
18,9-Oct,8376
4,9-Oct,1954
4,9-Oct,10387
185,9-Oct,60950
12,9-Oct,36565
19,9-Oct,3560
1,9-Oct,6443
12,9-Oct,149053
11,9-Oct,10293
8,9-Oct,77546
2,9-Oct,177800
4,9-Oct,26742
20,9-Oct,33226
26,9-Oct,86837
9,9-Oct,161424
1,9-Oct,112871
3,9-Oct,119159
4,9-Oct,112222
2,9-Oct,3241
5,9-Oct,41718
12,9-Oct,20487
24,9-Oct,45433
1,9-Oct,1569
5,9-Oct,2567
14,9-Oct,67132
1,9-Oct,162796
2,9-Oct,14122
